pair,class
"[""CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1"", 0.5, ""CC(CO)O"", 0.5]",0
"[""CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1"", 0.5, ""COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CC=C3"", 0.5]",0
"[""CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1"", 0.5, ""C1C[C@H](NC1)C(=O)O"", 0.5]",0
"[""CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1"", 0.5, ""C(CCN)C[C@@H](C(=O)O)N"", 0.5]",0
"[""CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1"", 0.5, ""C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O"", 0.5]",0
"[""CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1"", 0.5, ""CCCCCCCCCCCCCCCCCC(=O)O"", 0.5]",0
"[""CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1"", 0.5, ""CC1=CC[C@@H](CC1)C(=C)C"", 0.5]",0
"[""CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1"", 0.5, ""CNC[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O"", 0.5]",0
"[""CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1"", 0.5, ""C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl"", 0.5]",0
"[""CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1"", 0.5, ""CC(C1=CC=CC(=C1)C(=O)C2=CC=CC=C2)C(=O)O"", 0.5]",0
"[""CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1"", 0.5, ""CC12CC3CC(C1)(CC(C3)(C2)N)C.Cl"", 0.5]",0
"[""CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1"", 0.5, ""C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)[O-].[Na+]"", 0.5]",0
"[""CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1"", 0.5, ""C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O"", 0.5]",0
"[""CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1"", 0.5, ""C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O"", 0.5]",0
"[""CNC(=O)C1=NC=CC(OC2=CC=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=C1"", 0.5, ""C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)OC[C@@H]3[C@H]([C@@H]([C@H]([C@@H](O3)OC(=O)C4=CC(=C(C(=C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)OC(=O)C9=CC(=C(C(=C9)O)O)O)O)O)OC(=O)C1=CC(=C(C(=C1)OC(=O)C1=CC(=C(C(=C1)O)O)O)O)O"", 0.5]",1
