smiles,tc,dc
CC(CCC(C)C)CCC(C)C,6.493e+02,2.322e-01
CC[C@@H]1CC[C@H](CC1)C(C)(C)C,6.940e+02,2.536e-01
CCCCCCCC(CC)CC,6.617e+02,2.284e-01
CC1(C)CC[C@@H]2[C@H](C1)CCCC2,7.174e+02,2.762e-01
CC1CCC2C(C1)CCC(C2)C,7.197e+02,2.715e-01
C[C@@H]1[C@@H](C)[C@H](C)[C@H]([C@@H]([C@H]1C)C)C,6.976e+02,2.582e-01
CC(C[C@H]1C[C@@H](C)CC[C@@H]1C)C,6.760e+02,2.544e-01
CC(C1CCCC1)C1CCCC1,7.463e+02,2.740e-01
CCCCCC(CC(C)(C)C)C,6.517e+02,2.349e-01
CCC(CCC(CC)CC)CC,6.521e+02,2.374e-01
CCCCC1CCCCC1CC,6.892e+02,2.532e-01
CCCCCC(CCCC)CC,6.504e+02,2.344e-01
C[C@@H]1CCC[C@@]2(C1CCCC2)C,7.347e+02,2.803e-01
C[C@@H]1CC[C@H]2[C@H]([C@@H]1C)CCCC2,7.347e+02,2.754e-01
CCCCC(CCCC)CCC,6.483e+02,2.331e-01
CC1CCC(CC1C)(C)C(C)C,6.953e+02,2.616e-01
CCCCCCC(CC(C)C)C,6.477e+02,2.350e-01
CCC1CCCC2C1CCCC2,7.305e+02,2.747e-01
CCCCCCCC(C(C)C)C,6.511e+02,2.358e-01
CCCCCC1CCCCC1C,6.943e+02,2.502e-01
CCCCCC(C1CCCC1)C,6.941e+02,2.499e-01
CCCCCCCCCC(C)C,6.578e+02,2.307e-01
CCCCC[C@@H]1CCCC[C@H]1C,6.914e+02,2.483e-01
C[C@@H]1CC[C@@H]2[C@@H](C1)CCC[C@H]2C,7.321e+02,2.692e-01
CCCC(C(C)(C)C)(C(C)C)C,6.854e+02,2.507e-01
C[C@@H]1CC[C@H]2[C@H](C1)C[C@H](CC2)C,7.157e+02,2.696e-01
C[C@@H]1CC[C@@H]2[C@H]([C@@H]1C)CCCC2,7.214e+02,2.807e-01
CCCCCCC(CCCC)C,6.525e+02,2.307e-01
CCC1CCC2C(C1)CCCC2,7.287e+02,2.706e-01
CC[C@@H]1C[C@H](CC)C[C@@H](C1)CC,6.801e+02,2.512e-01
C1CCC(C1)CCC1CCCC1,7.341e+02,2.612e-01
CCC(CC(C(C)C)(CC)C)C,6.725e+02,2.419e-01
C[C@H]1CC[C@@H]2[C@@H](C1)[C@H](C)CCC2,7.214e+02,2.728e-01
