smiles,T,P,Solubility
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",353.15,52.92,0.392
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",363.15,60.23,0.392
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",373.15,67.87,0.392
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",383.15,75.77,0.392
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",393.15,83.87,0.392
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",403.15,92.12,0.392
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",413.15,100.47,0.392
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",423.15,108.86,0.392
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",433.15,117.24,0.392
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",443.15,125.55,0.392
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",453.15,133.74,0.392
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",313.15,38.61,0.479
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",323.15,46.37,0.479
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.15,55.06,0.479
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",343.15,64.57,0.479
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",353.15,74.82,0.479
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",363.15,85.69,0.479
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",373.15,97.08,0.479
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",383.15,108.9,0.479
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",393.15,121.03,0.479
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",403.15,133.38,0.479
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",413.15,145.84,0.479
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",313.15,44.9,0.519
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",323.15,54.21,0.519
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.15,64.78,0.519
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",343.15,76.47,0.519
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",353.15,89.11,0.519
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",363.15,102.58,0.519
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",373.15,116.71,0.519
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",383.15,131.36,0.519
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",393.15,146.39,0.519
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",313.15,53.54,0.57
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",323.15,65.29,0.57
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.15,78.83,0.57
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",343.15,93.97,0.57
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",353.15,110.53,0.57
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",363.15,128.32,0.57
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",373.15,147.14,0.57
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",313.15,59.16,0.593
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",323.15,72.68,0.593
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.15,88.48,0.593
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",343.15,106.37,0.593
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",353.15,126.17,0.593
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",363.15,147.7,0.593
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",292.85,12.2,0.233
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",303.85,15.3,0.233
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",314.05,18.3,0.233
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",324.15,22.0,0.233
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",334.35,26.6,0.233
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",344.55,30.6,0.233
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",293.05,19.7,0.3607
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",303.85,22.8,0.3607
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",314.05,29.8,0.3607
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",324.15,36.0,0.3607
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",334.35,42.0,0.3607
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",344.55,46.0,0.3607
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",293.75,22.6,0.4361
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",303.85,28.0,0.4361
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",314.05,34.6,0.4361
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",324.15,41.2,0.4361
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",334.35,48.8,0.4361
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",344.55,57.5,0.4361
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",298.55,29.6,0.4884
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",303.85,33.0,0.4884
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",314.05,39.0,0.4884
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",324.15,48.0,0.4884
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",334.35,57.8,0.4884
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",344.55,70.2,0.4884
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",294.55,33.0,0.551
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",303.85,40.6,0.551
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",314.05,51.5,0.551
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",324.15,63.2,0.551
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",334.35,77.0,0.551
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",344.55,91.5,0.551
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",294.25,36.0,0.587
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",303.85,45.5,0.587
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",314.05,56.5,0.587
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",324.15,69.0,0.587
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",334.35,85.5,0.587
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",344.55,104.0,0.587
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",293.35,40.8,0.6271
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",303.85,51.5,0.6271
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",314.05,65.5,0.6271
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",324.15,84.2,0.6271
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",334.35,103.8,0.6271
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",344.55,129.5,0.6271
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",293.05,43.0,0.6448
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",303.85,56.0,0.6448
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",314.05,70.5,0.6448
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",324.15,89.0,0.6448
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",334.35,113.0,0.6448
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",344.55,142.0,0.6448
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",292.75,47.0,0.6699
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",303.85,60.8,0.6699
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",314.05,77.0,0.6699
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",324.15,107.0,0.6699
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",334.35,133.0,0.6699
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",344.55,168.0,0.6699
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",294.05,52.0,0.7043
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",303.85,66.0,0.7043
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",314.05,90.5,0.7043
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",324.15,130.0,0.7043
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",334.35,172.0,0.7043
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",344.55,214.0,0.7043
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",298.35,68.0,0.7246
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",303.85,92.5,0.7246
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",314.05,145.0,0.7246
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",324.15,197.0,0.7246
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",334.35,248.0,0.7246
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",344.55,294.0,0.7246
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",294.55,84.0,0.7388
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",303.85,131.0,0.7388
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",314.05,192.0,0.7388
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",324.15,244.5,0.7388
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",334.35,292.0,0.7388
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",344.55,346.0,0.7388
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",296.95,148.0,0.761
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",303.85,188.0,0.761
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",314.05,253.0,0.761
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",324.15,309.0,0.761
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",334.35,365.0,0.761
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",344.55,432.0,0.761
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",297.9,4.0,0.107
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",298.0,1.0,0.03
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",298.1,0.5,0.015
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",298.1,13.0,0.287
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",298.1,15.0,0.317
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",298.1,20.0,0.39
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",298.2,0.1,0.004
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",298.2,7.0,0.174
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",298.2,10.0,0.234
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",293.65,6.2,0.221
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",298.52,7.25,0.221
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",303.25,8.37,0.221
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",313.59,10.83,0.221
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",323.39,13.45,0.221
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.15,16.45,0.221
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",343.25,19.57,0.221
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",353.1,22.76,0.221
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",363.23,26.8,0.221
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",298.15,7.18,0.221
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",303.15,8.3,0.221
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",313.15,10.73,0.221
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",323.15,13.41,0.221
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.15,16.34,0.221
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",343.15,19.53,0.221
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",353.15,22.97,0.221
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",363.15,26.66,0.221
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",293.24,11.3,0.327
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",298.5,12.95,0.327
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",303.41,14.62,0.327
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",313.32,18.68,0.327
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",323.13,22.92,0.327
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",333.17,27.58,0.327
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",343.27,32.87,0.327
"[""C(C)[N+]1=CN(C=C1)C"", 0.5, ""FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F"", 0.5]",353.16,38.5,0.327
